User,Twitter ID Number,Twitter Screename,# of Followers
69,841122567691870209,USER UNAVAILABLE,USER UNAVAILABLE
341,837680247059382272,BillWat22608176,USER UNAVAILABLE
345,837511152552701952,emily_grisa,USER UNAVAILABLE
357,837422711236399104,SidekickStudio1,USER UNAVAILABLE
367,837341845231304704,Jennyfender3,USER UNAVAILABLE
385,837088748923990026,beats_trappin,USER UNAVAILABLE
419,836777883376967680,JjjjjJjjojjjjj,USER UNAVAILABLE
420,836774867898880000,looopll,USER UNAVAILABLE
432,836701041269878784,ILoveR2DA,USER UNAVAILABLE
440,836610160923586560,MonicaLauren7,USER UNAVAILABLE
452,836416062816206848,USER UNAVAILABLE,USER UNAVAILABLE
467,836324436315877376,USER UNAVAILABLE,USER UNAVAILABLE
481,836086670999040000,USER UNAVAILABLE,USER UNAVAILABLE
485,836065972570181636,USER UNAVAILABLE,USER UNAVAILABLE
491,836028364272058375,USER UNAVAILABLE,USER UNAVAILABLE
515,835733885594058752,USER UNAVAILABLE,USER UNAVAILABLE
516,835701554405601281,USER UNAVAILABLE,USER UNAVAILABLE
517,835717354780823552,USER UNAVAILABLE,USER UNAVAILABLE
524,835665330433327104,USER UNAVAILABLE,USER UNAVAILABLE
526,835642512660398081,USER UNAVAILABLE,USER UNAVAILABLE
531,835627949713948673,USER UNAVAILABLE,USER UNAVAILABLE
535,835619027187810305,USER UNAVAILABLE,USER UNAVAILABLE
538,835602023257108483,USER UNAVAILABLE,USER UNAVAILABLE
547,835541853902622722,USER UNAVAILABLE,USER UNAVAILABLE
594,835000713432469505,USER UNAVAILABLE,USER UNAVAILABLE
595,834982804622622720,USER UNAVAILABLE,USER UNAVAILABLE
600,834931073989685248,USER UNAVAILABLE,USER UNAVAILABLE
627,834544737872932864,USER UNAVAILABLE,USER UNAVAILABLE
635,834502376828526592,USER UNAVAILABLE,USER UNAVAILABLE
636,834486160252665858,USER UNAVAILABLE,USER UNAVAILABLE
639,834461384104693768,USER UNAVAILABLE,USER UNAVAILABLE
651,834273733422505984,USER UNAVAILABLE,USER UNAVAILABLE
653,834254545454772224,USER UNAVAILABLE,USER UNAVAILABLE
663,834181549830578178,USER UNAVAILABLE,USER UNAVAILABLE
669,834168836299583489,USER UNAVAILABLE,USER UNAVAILABLE
704,833853939653152769,USER UNAVAILABLE,USER UNAVAILABLE
709,833819585090560005,USER UNAVAILABLE,USER UNAVAILABLE
717,833763473075077121,USER UNAVAILABLE,USER UNAVAILABLE
718,833743576467128323,USER UNAVAILABLE,USER UNAVAILABLE
722,833706865129254914,USER UNAVAILABLE,USER UNAVAILABLE
726,833592524090511361,USER UNAVAILABLE,USER UNAVAILABLE
738,833490498627182593,USER UNAVAILABLE,USER UNAVAILABLE
750,833424225671188480,USER UNAVAILABLE,USER UNAVAILABLE
751,833421414073978881,USER UNAVAILABLE,USER UNAVAILABLE
769,833167807906979840,USER UNAVAILABLE,USER UNAVAILABLE
773,833149356798783488,USER UNAVAILABLE,USER UNAVAILABLE
783,832956507163594752,USER UNAVAILABLE,USER UNAVAILABLE
789,832797643482951681,USER UNAVAILABLE,USER UNAVAILABLE
796,832769143489261569,USER UNAVAILABLE,USER UNAVAILABLE
804,832713917700771841,USER UNAVAILABLE,USER UNAVAILABLE
807,832684760426090497,USER UNAVAILABLE,USER UNAVAILABLE
829,832390998286356483,USER UNAVAILABLE,USER UNAVAILABLE
864,832033969109598209,USER UNAVAILABLE,USER UNAVAILABLE
866,832027886928400385,USER UNAVAILABLE,USER UNAVAILABLE
872,831961693303500800,USER UNAVAILABLE,USER UNAVAILABLE
876,831902606922547200,USER UNAVAILABLE,USER UNAVAILABLE
880,831872585688309761,USER UNAVAILABLE,USER UNAVAILABLE
883,831764608117506048,USER UNAVAILABLE,USER UNAVAILABLE
911,831537696971509760,USER UNAVAILABLE,USER UNAVAILABLE
912,831534489188913152,USER UNAVAILABLE,USER UNAVAILABLE
914,831531477007527936,USER UNAVAILABLE,USER UNAVAILABLE
915,831528029360836608,USER UNAVAILABLE,USER UNAVAILABLE
929,831329754880040960,USER UNAVAILABLE,USER UNAVAILABLE
